UniqueID,StreamSide,StreamDistance,DownStream,SubDownStream,Elevation,DepthBin,Mortality,Sizemm,Sediment4000,Sediment2000,Sediment500,Sediment250,Sediment125,Sediment63,Sediment0,
S10 60-5,S,10,60,5,2.63,5,D,,0.463,0.2288,0.2578,0.0401,0.0078,0.002,0.0005,
S10 60-5,S,10,60,5,2.63,15,D,,0.463,0.2288,0.2578,0.0401,0.0078,0.002,0.0005,
S10 60-5,S,10,60,5,2.63,15,D,,0.463,0.2288,0.2578,0.0401,0.0078,0.002,0.0005,
S10 60-5,S,10,60,5,2.63,15,D,,0.463,0.2288,0.2578,0.0401,0.0078,0.002,0.0005,
S10 60-5,S,10,60,5,2.63,15,A,37.12,0.463,0.2288,0.2578,0.0401,0.0078,0.002,0.0005,
S10 70-7,S,10,70,7,2.35,5,A,44.62,0.3502,0.2156,0.3403,0.0831,0.0098,0.0007,0.0002,
S10 70-7,S,10,70,7,2.35,0,D,,0.3502,0.2156,0.3403,0.0831,0.0098,0.0007,0.0002,
S10 70-7,S,10,70,7,2.35,0,D,,0.3502,0.2156,0.3403,0.0831,0.0098,0.0007,0.0002,
S10 70-7,S,10,70,7,2.35,0,D,,0.3502,0.2156,0.3403,0.0831,0.0098,0.0007,0.0002,
S10 70-7,S,10,70,7,2.35,0,D,,0.3502,0.2156,0.3403,0.0831,0.0098,0.0007,0.0002,
S10 70-7,S,10,70,7,2.35,0,D,,0.3502,0.2156,0.3403,0.0831,0.0098,0.0007,0.0002,
S10 70-7,S,10,70,7,2.35,0,D,,0.3502,0.2156,0.3403,0.0831,0.0098,0.0007,0.0002,
S10 70-7,S,10,70,7,2.35,0,D,,0.3502,0.2156,0.3403,0.0831,0.0098,0.0007,0.0002,
S10 70-7,S,10,70,7,2.35,0,D,,0.3502,0.2156,0.3403,0.0831,0.0098,0.0007,0.0002,
S10 70-7,S,10,70,7,2.35,0,D,,0.3502,0.2156,0.3403,0.0831,0.0098,0.0007,0.0002,
S10 70-7,S,10,70,7,2.35,5,D,,0.3502,0.2156,0.3403,0.0831,0.0098,0.0007,0.0002,
S10 70-7,S,10,70,7,2.35,5,D,,0.3502,0.2156,0.3403,0.0831,0.0098,0.0007,0.0002,
S10 70-7,S,10,70,7,2.35,5,A,41.62,0.3502,0.2156,0.3403,0.0831,0.0098,0.0007,0.0002,
S10 70-7,S,10,70,7,2.35,10,A,38.82,0.3502,0.2156,0.3403,0.0831,0.0098,0.0007,0.0002,
S10 70-7,S,10,70,7,2.35,10,A,44.64,0.3502,0.2156,0.3403,0.0831,0.0098,0.0007,0.0002,
S10 70-7,S,10,70,7,2.35,10,A,42.31,0.3502,0.2156,0.3403,0.0831,0.0098,0.0007,0.0002,
S10 70-7,S,10,70,7,2.35,10,A,40.66,0.3502,0.2156,0.3403,0.0831,0.0098,0.0007,0.0002,
S10 70-7,S,10,70,7,2.35,15,A,29.18,0.3502,0.2156,0.3403,0.0831,0.0098,0.0007,0.0002,
