"","UniqueID","StreamSide","StreamDistance","Elevation","DepthBin","Mortality","Sizemm","normGravel","normSand","normSilt","PC1","gravel","DownStreamTotal","APresence","DPresence"
"94","S10 80-7","S",10,2.3,5,"A",32.49,0.0716223541091927,-0.102602339027212,-0.640541932804983,-0.93582700115789,0.7772,87,1,0
"95","S10 80-7","S",10,2.3,0,"A",32.36,0.0716223541091927,-0.102602339027212,-0.640541932804983,-0.93582700115789,0.7772,87,1,0
"96","S2 70-5","S",2,2.49,15,"A",32.31,0.0415822214301644,-0.00382524436051961,-0.235076824696819,0.438740823655617,0.7542,75,1,0
"97","N5 50-4","N",5,2.77,5,"A",32.16,-0.100662248289809,0.335725079309288,0.745752428314907,1.76842964400047,0.6542,54,1,0
"98","N5 50-4","N",5,2.77,5,"A",32,-0.100662248289809,0.335725079309288,0.745752428314907,1.76842964400047,0.6542,54,1,0
"99","N10 50-3","N",10,2.65,5,"A",31.78,-0.352413510406073,0.688099691190882,0.745752428314907,3.65229579822368,0.5086,53,1,0
"100","N10 50-3","N",10,2.65,15,"A",31.71,-0.352413510406073,0.688099691190882,0.745752428314907,3.65229579822368,0.5086,53,1,0
"101","N5 50-4","N",5,2.77,5,"A",31.54,-0.100662248289809,0.335725079309288,0.745752428314907,1.76842964400047,0.6542,54,1,0
"102","S10 80-7","S",10,2.3,0,"A",31.36,0.0716223541091927,-0.102602339027212,-0.640541932804983,-0.93582700115789,0.7772,87,1,0
"103","S10 80-7","S",10,2.3,5,"A",31.16,0.0716223541091927,-0.102602339027212,-0.640541932804983,-0.93582700115789,0.7772,87,1,0
"104","N10 50-3","N",10,2.65,5,"A",30.82,-0.352413510406073,0.688099691190882,0.745752428314907,3.65229579822368,0.5086,53,1,0
"105","N10 50-3","N",10,2.65,15,"A",30.65,-0.352413510406073,0.688099691190882,0.745752428314907,3.65229579822368,0.5086,53,1,0
"106","S5 80-0","S",5,2.41,10,"A",30.65,0.045023654343576,-0.0148796046253803,-0.640541932804983,-0.705075298335113,0.7568,80,1,0
"107","S5 80-0","S",5,2.41,0,"A",30.42,0.045023654343576,-0.0148796046253803,-0.640541932804983,-0.705075298335113,0.7568,80,1,0
"108","N10 40-6","N",10,2.94,5,"A",30.27,0.121441324953731,-0.298589885236687,-0.640541932804983,-1.47207115196788,0.8169,46,1,0
"109","S2 130-9","S",2,1.5,0,"A",29.76,0.0413170046138636,-0.00463990835669605,0.458070355863126,0.798312586850766,0.754,139,1,0
"110","S5 40-6","S",5,3.08,10,"A",29.55,0.0267552617693314,0.0388191927365184,0.458070355863126,0.22674295750356,0.7431,46,1,0
"111","S10 80-7","S",10,2.3,5,"A",29.5,0.0716223541091927,-0.102602339027212,-0.640541932804983,-0.93582700115789,0.7772,87,1,0
"112","S10 80-7","S",10,2.3,15,"A",29.5,0.0716223541091927,-0.102602339027212,-0.640541932804983,-0.93582700115789,0.7772,87,1,0
"113","N10 50-3","N",10,2.65,5,"A",29.48,-0.352413510406073,0.688099691190882,0.745752428314907,3.65229579822368,0.5086,53,1,0
"114","N10 50-3","N",10,2.65,5,"A",29.35,-0.352413510406073,0.688099691190882,0.745752428314907,3.65229579822368,0.5086,53,1,0
"115","S10 70-7","S",10,2.35,15,"A",29.18,-0.245834704526625,0.565284652170798,-0.640541932804983,1.58800306435711,0.5658,77,1,0
"116","S5 70-0","S",5,2.64,10,"A",27.5,0.126447746058336,-0.321261577894093,-0.235076824696819,-2.38372523272129,0.821,70,1,0
"117","N5 50-4","N",5,2.77,15,"A",27.44,-0.100662248289809,0.335725079309288,0.745752428314907,1.76842964400047,0.6542,54,1,0
"118","N10 90-5","N",10,1.78,5,"A",27.44,0.0603651995845582,-0.0672785781968039,1.06420615943344,-0.159998854402196,0.7685,95,1,0
"119","S10 80-7","S",10,2.3,5,"A",27.17,0.0716223541091927,-0.102602339027212,-0.640541932804983,-0.93582700115789,0.7772,87,1,0
"120","N10 50-3","N",10,2.65,5,"A",27.12,-0.352413510406073,0.688099691190882,0.745752428314907,3.65229579822368,0.5086,53,1,0
"121","N5 90-3","N",5,2.14,10,"A",26.71,0.174483609225918,-0.578827529299938,0.052605247754962,-2.91947664030391,0.8614,93,1,0
"122","N10 50-3","N",10,2.65,10,"A",26.25,-0.352413510406073,0.688099691190882,0.745752428314907,3.65229579822368,0.5086,53,1,0
"123","N10 40-6","N",10,2.94,5,"A",26.13,0.121441324953731,-0.298589885236687,-0.640541932804983,-1.47207115196788,0.8169,46,1,0
"124","N10 50-3","N",10,2.65,0,"A",26.1,-0.352413510406073,0.688099691190882,0.745752428314907,3.65229579822368,0.5086,53,1,0
"125","N10 50-3","N",10,2.65,15,"A",25.93,-0.352413510406073,0.688099691190882,0.745752428314907,3.65229579822368,0.5086,53,1,0
"126","S5 90-0","S",5,2.26,15,"A",25.57,0.0458161520736022,-0.0165277302559692,-1.33368911336493,-1.13801628031234,0.7574,90,1,0
"127","S5 40-6","S",5,3.08,10,"A",24.65,0.0267552617693314,0.0388191927365184,0.458070355863126,0.22674295750356,0.7431,46,1,0
"128","N10 40-6","N",10,2.94,10,"A",23.96,0.121441324953731,-0.298589885236687,-0.640541932804983,-1.47207115196788,0.8169,46,1,0
"129","S5 80-0","S",5,2.41,0,"A",23.18,0.045023654343576,-0.0148796046253803,-0.640541932804983,-0.705075298335113,0.7568,80,1,0
"130","N10 90-5","N",10,1.78,5,"A",19.51,0.0603651995845582,-0.0672785781968039,1.06420615943344,-0.159998854402196,0.7685,95,1,0
"131","S5 110-0","S",5,1.98,10,"A",19.22,-0.179177538528769,0.466534591794307,1.71083332435849,3.57532407996306,0.6048,110,1,0
"132","N10 90-5","N",10,1.78,0,"A",17.84,0.0603651995845582,-0.0672785781968039,1.06420615943344,-0.159998854402196,0.7685,95,1,0
"133","N10 90-5","N",10,1.78,5,"A",17.59,0.0603651995845582,-0.0672785781968039,1.06420615943344,-0.159998854402196,0.7685,95,1,0
"134","N10 90-5","N",10,1.78,0,"A",16.91,0.0603651995845582,-0.0672785781968039,1.06420615943344,-0.159998854402196,0.7685,95,1,0
"135","S2 110-2","S",2,1.76,15,"A",15.65,0.0884637830395658,-0.164238708442739,0.275748799069172,-0.419903088335641,0.7904,112,1,0
"136","N10 90-5","N",10,1.78,10,"A",15.46,0.0603651995845582,-0.0672785781968039,1.06420615943344,-0.159998854402196,0.7685,95,1,0
"137","N10 90-5","N",10,1.78,0,"A",14.42,0.0603651995845582,-0.0672785781968039,1.06420615943344,-0.159998854402196,0.7685,95,1,0
"138","S2 100-0","S",2,1.94,10,"A",14.36,0.0483215928250959,-0.0252252379724547,-0.235076824696819,0.0657165572617544,0.7593,100,1,0
"139","N10 90-5","N",10,1.78,0,"A",13.27,0.0603651995845582,-0.0672785781968039,1.06420615943344,-0.159998854402196,0.7685,95,1,0
"140","N10 90-5","N",10,1.78,0,"A",13.22,0.0603651995845582,-0.0672785781968039,1.06420615943344,-0.159998854402196,0.7685,95,1,0
"141","N10 90-5","N",10,1.78,0,"A",12.11,0.0603651995845582,-0.0672785781968039,1.06420615943344,-0.159998854402196,0.7685,95,1,0
