"UniqueID","StreamSide","StreamDistance","Elevation","DepthBin","Mortality","Sizemm","PC1"
"S2 40-9","S",2,3,10,"D",NA,-0.520581919929478
"S2 40-9","S",2,3,15,"Z",NA,-0.520581919929478
"N2 130-0","N",2,1.46,0,"Z",NA,-0.721595930349489
"N2 130-0","N",2,1.46,5,"Z",NA,-0.721595930349489
"N2 130-0","N",2,1.46,10,"Z",NA,-0.721595930349489
"N2 130-0","N",2,1.46,15,"Z",NA,-0.721595930349489
"S10 110-4","S",10,1.81,0,"Z",NA,1.19739323263789
"S10 110-4","S",10,1.81,5,"Z",NA,1.19739323263789
"S10 110-4","S",10,1.81,15,"A",41.86,1.19739323263789
"S10 110-4","S",10,1.81,10,"D",NA,1.19739323263789
"S10 110-4","S",10,1.81,10,"D",NA,1.19739323263789
"S10 110-4","S",10,1.81,10,"D",NA,1.19739323263789
"S10 110-4","S",10,1.81,10,"D",NA,1.19739323263789
"S10 110-4","S",10,1.81,10,"D",NA,1.19739323263789
"S10 110-4","S",10,1.81,10,"D",NA,1.19739323263789
"S10 110-4","S",10,1.81,10,"D",NA,1.19739323263789
"S10 110-4","S",10,1.81,10,"D",NA,1.19739323263789
"S10 110-4","S",10,1.81,10,"D",NA,1.19739323263789
"S10 110-4","S",10,1.81,15,"D",NA,1.19739323263789
"S10 110-4","S",10,1.81,15,"D",NA,1.19739323263789
"C 110-1","C",0,1.7,0,"Z",NA,2.17137903595873
"C 110-1","C",0,1.7,5,"Z",NA,2.17137903595873
"C 110-1","C",0,1.7,10,"Z",NA,2.17137903595873
"C 110-1","C",0,1.7,15,"Z",NA,2.17137903595873
"N5 60-5","N",5,2.46,0,"Z",NA,-1.42844225504939
"N5 60-5","N",5,2.46,5,"Z",NA,-1.42844225504939
"N5 60-5","N",5,2.46,10,"Z",NA,-1.42844225504939
"N5 60-5","N",5,2.46,15,"Z",NA,-1.42844225504939
"S2 70-5","S",2,2.49,0,"Z",NA,0.438740823655617
"S2 70-5","S",2,2.49,5,"A",40.18,0.438740823655617
"S2 70-5","S",2,2.49,5,"A",34.75,0.438740823655617
"S2 70-5","S",2,2.49,10,"A",51.59,0.438740823655617
"S2 70-5","S",2,2.49,15,"A",32.31,0.438740823655617
"C 100-0","C",0,1.89,0,"D",NA,-2.05552797292785
"C 100-0","C",0,1.89,0,"D",NA,-2.05552797292785
"C 100-0","C",0,1.89,0,"D",NA,-2.05552797292785
"C 100-0","C",0,1.89,0,"D",NA,-2.05552797292785
"C 100-0","C",0,1.89,0,"D",NA,-2.05552797292785
"C 100-0","C",0,1.89,0,"D",NA,-2.05552797292785
"C 100-0","C",0,1.89,5,"A",52.8,-2.05552797292785
"C 100-0","C",0,1.89,5,"D",NA,-2.05552797292785
"C 100-0","C",0,1.89,5,"D",NA,-2.05552797292785
"C 100-0","C",0,1.89,10,"D",NA,-2.05552797292785
"C 100-0","C",0,1.89,15,"Z",NA,-2.05552797292785
"S10 100-5","S",10,1.96,0,"Z",NA,-0.503019531818668
"S10 100-5","S",10,1.96,5,"Z",NA,-0.503019531818668
"S10 100-5","S",10,1.96,10,"A",42.78,-0.503019531818668
"S10 100-5","S",10,1.96,10,"D",NA,-0.503019531818668
"S10 100-5","S",10,1.96,10,"D",NA,-0.503019531818668
"S10 100-5","S",10,1.96,15,"D",NA,-0.503019531818668
"S10 100-5","S",10,1.96,15,"D",NA,-0.503019531818668
"S10 100-5","S",10,1.96,15,"D",NA,-0.503019531818668
"S10 100-5","S",10,1.96,15,"D",NA,-0.503019531818668
"S10 100-5","S",10,1.96,10,"A",49.64,-0.503019531818668
"S10 100-5","S",10,1.96,15,"A",47.49,-0.503019531818668
"S10 100-5","S",10,1.96,15,"A",43.69,-0.503019531818668
"N2 10-4","N",2,4.19,15,"Z",NA,NA
"C 80-6","C",0,2.04,0,"D",NA,-1.52689593330818
"C 80-6","C",0,2.04,0,"D",NA,-1.52689593330818
"C 80-6","C",0,2.04,0,"D",NA,-1.52689593330818
"C 80-6","C",0,2.04,0,"D",NA,-1.52689593330818
"C 80-6","C",0,2.04,0,"D",NA,-1.52689593330818
"C 80-6","C",0,2.04,0,"D",NA,-1.52689593330818
"C 80-6","C",0,2.04,0,"D",NA,-1.52689593330818
"C 80-6","C",0,2.04,5,"D",NA,-1.52689593330818
"C 80-6","C",0,2.04,5,"D",NA,-1.52689593330818
"C 80-6","C",0,2.04,10,"Z",NA,-1.52689593330818
"C 80-6","C",0,2.04,15,"Z",NA,-1.52689593330818
"S2 100-0","S",2,1.94,0,"Z",NA,0.0657165572617531
"S2 100-0","S",2,1.94,5,"Z",NA,0.0657165572617531
"S2 100-0","S",2,1.94,10,"A",14.36,0.0657165572617531
"S2 100-0","S",2,1.94,10,"D",NA,0.0657165572617531
"S2 100-0","S",2,1.94,10,"D",NA,0.0657165572617531
"S2 100-0","S",2,1.94,15,"Z",NA,0.0657165572617531
"N5 110-3","N",5,1.74,0,"Z",NA,-0.558790964678982
"N5 110-3","N",5,1.74,5,"Z",NA,-0.558790964678982
"N5 110-3","N",5,1.74,10,"Z",NA,-0.558790964678982
"N5 110-3","N",5,1.74,15,"Z",NA,-0.558790964678982
"N10 120-0","N",10,1.57,0,"Z",NA,1.0625024453634
"N10 120-0","N",10,1.57,5,"A",46.74,1.0625024453634
"N10 120-0","N",10,1.57,5,"A",42.91,1.0625024453634
"N10 120-0","N",10,1.57,10,"Z",NA,1.0625024453634
"N10 120-0","N",10,1.57,15,"Z",NA,1.0625024453634
"N10 120-0","N",10,1.57,0,"Z",NA,1.0625024453634
"N10 120-0","N",10,1.57,5,"D",NA,1.0625024453634
"N10 120-0","N",10,1.57,5,"D",NA,1.0625024453634
"N10 120-0","N",10,1.57,5,"D",NA,1.0625024453634
"N10 120-0","N",10,1.57,10,"Z",NA,1.0625024453634
"N10 120-0","N",10,1.57,15,"Z",NA,1.0625024453634
"N2 100-4","N",2,2.05,0,"Z",NA,NA
"N2 100-4","N",2,2.05,5,"Z",NA,NA
"N2 100-4","N",2,2.05,10,"Z",NA,NA
"N2 100-4","N",2,2.05,15,"Z",NA,NA
"N5 40-2","N",5,3.18,0,"Z",NA,-1.410065785165
"N5 40-2","N",5,3.18,5,"Z",NA,-1.410065785165
"N5 40-2","N",5,3.18,10,"Z",NA,-1.410065785165
"N5 40-2","N",5,3.18,15,"A",33.1,-1.410065785165
"N5 40-2","N",5,3.18,15,"D",NA,-1.410065785165
"N5 40-2","N",5,3.18,15,"D",NA,-1.410065785165
"N5 0-3","N",5,4.32,0,"Z",NA,-0.835392283896206
"N5 0-3","N",5,4.32,5,"Z",NA,-0.835392283896206
"N5 0-3","N",5,4.32,10,"Z",NA,-0.835392283896206
"N5 0-3","N",5,4.32,15,"Z",NA,-0.835392283896206
"S5 110-0","S",5,1.98,0,"Z",NA,3.57532407996306
"S5 110-0","S",5,1.98,5,"Z",NA,3.57532407996306
"S5 110-0","S",5,1.98,10,"A",38.38,3.57532407996306
"S5 110-0","S",5,1.98,10,"A",19.22,3.57532407996306
"S5 110-0","S",5,1.98,15,"Z",NA,3.57532407996306
"S5 80-0","S",5,2.41,0,"A",32.67,-0.705075298335115
"S5 80-0","S",5,2.41,0,"D",NA,-0.705075298335115
"S5 80-0","S",5,2.41,0,"D",NA,-0.705075298335115
"S5 80-0","S",5,2.41,15,"D",NA,-0.705075298335115
"S5 80-0","S",5,2.41,15,"D",NA,-0.705075298335115
"S5 80-0","S",5,2.41,0,"A",30.42,-0.705075298335115
"S5 80-0","S",5,2.41,0,"A",23.18,-0.705075298335115
"S5 80-0","S",5,2.41,0,"A",50.73,-0.705075298335115
"S5 80-0","S",5,2.41,5,"A",34.34,-0.705075298335115
"S5 80-0","S",5,2.41,5,"A",34.59,-0.705075298335115
"S5 80-0","S",5,2.41,10,"A",37.06,-0.705075298335115
"S5 80-0","S",5,2.41,10,"A",30.65,-0.705075298335115
"S5 80-0","S",5,2.41,15,"A",50.83,-0.705075298335115
"S5 80-0","S",5,2.41,15,"A",44.71,-0.705075298335115
"S5 40-6","S",5,3.08,5,"Z",NA,0.226742957503561
"S5 40-6","S",5,3.08,15,"Z",NA,0.226742957503561
"S5 40-6","S",5,3.08,10,"A",29.55,0.226742957503561
"S5 40-6","S",5,3.08,0,"D",NA,0.226742957503561
"S5 40-6","S",5,3.08,10,"A",24.65,0.226742957503561
"S10 80-7","S",10,2.3,0,"A",43.76,-0.935827001157891
"S10 80-7","S",10,2.3,0,"A",31.36,-0.935827001157891
"S10 80-7","S",10,2.3,0,"A",32.36,-0.935827001157891
"S10 80-7","S",10,2.3,0,"A",33.54,-0.935827001157891
"S10 80-7","S",10,2.3,5,"A",39.49,-0.935827001157891
"S10 80-7","S",10,2.3,5,"A",42.67,-0.935827001157891
"S10 80-7","S",10,2.3,5,"A",46.64,-0.935827001157891
"S10 80-7","S",10,2.3,5,"A",49.1,-0.935827001157891
"S10 80-7","S",10,2.3,5,"A",34.8,-0.935827001157891
"S10 80-7","S",10,2.3,5,"A",45.56,-0.935827001157891
"S10 80-7","S",10,2.3,5,"A",40.04,-0.935827001157891
"S10 80-7","S",10,2.3,5,"A",37.02,-0.935827001157891
"S10 80-7","S",10,2.3,5,"A",46.66,-0.935827001157891
"S10 80-7","S",10,2.3,5,"A",27.17,-0.935827001157891
"S10 80-7","S",10,2.3,5,"A",31.16,-0.935827001157891
"S10 80-7","S",10,2.3,5,"A",29.5,-0.935827001157891
"S10 80-7","S",10,2.3,5,"A",32.49,-0.935827001157891
"S10 80-7","S",10,2.3,15,"A",29.5,-0.935827001157891
"S10 80-7","S",10,2.3,15,"A",46.35,-0.935827001157891
"S10 80-7","S",10,2.3,10,"Z",NA,-0.935827001157891
"C 70-7","C",0,2.16,0,"D",NA,-3.8511765128179
"C 70-7","C",0,2.16,0,"D",NA,-3.8511765128179
"C 70-7","C",0,2.16,0,"D",NA,-3.8511765128179
"C 70-7","C",0,2.16,5,"D",NA,-3.8511765128179
"C 70-7","C",0,2.16,5,"D",NA,-3.8511765128179
"C 70-7","C",0,2.16,10,"D",NA,-3.8511765128179
"C 70-7","C",0,2.16,15,"Z",NA,-3.8511765128179
"S10 70-7","S",10,2.35,5,"A",44.62,1.58800306435711
"S10 70-7","S",10,2.35,0,"D",NA,1.58800306435711
"S10 70-7","S",10,2.35,0,"D",NA,1.58800306435711
"S10 70-7","S",10,2.35,0,"D",NA,1.58800306435711
"S10 70-7","S",10,2.35,0,"D",NA,1.58800306435711
"S10 70-7","S",10,2.35,0,"D",NA,1.58800306435711
"S10 70-7","S",10,2.35,0,"D",NA,1.58800306435711
